object	timestamp	instances	dimension0	dimension1	dimension2	dimension3	dimension4	pr
QMh	201	QMh4	623	2414	6453	367	6412	0.0384615384615385
QMh	201	QMh5	504	2122	6285	488	6413	0.0384615384615385
QMh	201	QMh6	412	2372	6299	321	6417	0.173076923076923
QMh	201	QMh7	398	2134	6607	188	6529	0.0961538461538462
QMh	201	QMh8	617	2388	6299	207	6566	0.153846153846154
QMh	201	QMh9	592	2175	6351	206	6456	0.0384615384615385
Vtc	202	Vtc0	3121	4595	2067	2137	5915	0.0196078431372549
Vtc	202	Vtc1	3279	4391	2114	2158	5955	0.0784313725490196
Vtc	202	Vtc2	3148	4484	2120	2341	5835	0.0980392156862745
Vtc	202	Vtc3	3292	4508	1922	2318	5811	0.117647058823529
Vtc	202	Vtc4	3303	4641	2012	2044	5701	0.176470588235294
Vtc	202	Vtc5	3113	4384	2012	2339	5902	0.176470588235294
Vtc	202	Vtc6	3011	4545	2160	2163	5912	0.0588235294117647
Vtc	202	Vtc7	3239	4629	2032	2297	5791	0.156862745098039
Vtc	202	Vtc8	3300	4575	1863	2279	5805	0.0784313725490196
Vtc	202	Vtc9	3184	4520	2156	2303	5757	0.0392156862745098
AWW	203	AWW0	5322	6328	3490	2575	1399	0.157894736842105
AWW	203	AWW1	5238	6393	3442	2682	1462	0.105263157894737
AWW	203	AWW2	5243	6608	3242	2658	1454	0.0350877192982456
AWW	203	AWW3	5301	6518	3215	2444	1412	0.087719298245614
AWW	203	AWW4	5105	6475	3252	2541	1392	0.0350877192982456
AWW	203	AWW5	5270	6389	3447	2553	1582	0.0701754385964912
AWW	203	AWW6	5225	6328	3210	2673	1254	0.140350877192982
AWW	203	AWW7	5117	6320	3179	2764	1351	0.105263157894737
AWW	203	AWW8	5268	6574	3343	2748	1471	0.140350877192982
AWW	203	AWW9	5206	6488	3514	2507	1582	0.12280701754386
ErW	204	ErW0	1197	2993	5611	3412	4275	0.0185185185185185
ErW	204	ErW1	1354	2894	5403	3465	4253	0.0555555555555556
ErW	204	ErW2	1045	2794	5497	3551	4153	0.148148148148148
ErW	204	ErW3	1353	3014	5627	3439	4254	0.111111111111111
ErW	204	ErW4	1330	2883	5564	3369	4063	0.166666666666667
ErW	204	ErW5	1075	2813	5528	3617	4289	0.148148148148148
ErW	204	ErW6	1129	2999	5412	3484	4297	0.0555555555555556
ErW	204	ErW7	1175	2941	5615	3605	4365	0.0925925925925926
ErW	204	ErW8	1293	2844	5585	3681	4362	0.0740740740740741
ErW	204	ErW9	1325	3101	5720	3371	4321	0.12962962962963
Zmd	205	Zmd0	3021	2717	6437	6608	5309	0.16
Zmd	205	Zmd1	3004	2791	6686	6468	5242	0.04
Zmd	205	Zmd2	2781	2628	6480	6393	5531	0.02
Zmd	205	Zmd3	2768	2747	6452	6347	5420	0.12
Zmd	205	Zmd4	2896	2664	6733	6476	5248	0.02
Zmd	205	Zmd5	2736	2845	6742	6269	5400	0.12
Zmd	205	Zmd6	2878	2860	6772	6328	5235	0.16
Zmd	205	Zmd7	2821	2732	6698	6370	5532	0.18
Zmd	205	Zmd8	2724	2714	6617	6449	5479	0.06
Zmd	205	Zmd9	2830	2796	6629	6404	5319	0.12
uRn	206	uRn0	3501	3326	1630	6723	2049	0.0444444444444444
uRn	206	uRn1	3488	3121	1629	6575	2232	0.155555555555556
uRn	206	uRn2	3559	3230	1447	6630	2185	0.133333333333333
uRn	206	uRn3	3557	3138	1400	6672	1944	0.0888888888888889
uRn	206	uRn4	3455	3346	1385	6766	2007	0.177777777777778
uRn	206	uRn5	3599	3183	1611	6627	1945	0.0222222222222222
uRn	206	uRn6	3434	3132	1606	6550	2253	0.0444444444444444
uRn	206	uRn7	3509	3094	1561	6605	2254	0.155555555555556
uRn	206	uRn8	3663	3383	1444	6660	2015	0.155555555555556
uRn	206	uRn9	3534	3366	1454	6463	2075	0.0222222222222222
NTe	207	NTe0	3627	2987	5740	6614	4289	0.169811320754717
NTe	207	NTe1	3582	2946	5715	6544	4273	0.113207547169811
NTe	207	NTe2	3773	3107	5543	6617	4074	0.132075471698113
NTe	207	NTe3	3829	3133	5725	6636	4155	0.150943396226415
NTe	207	NTe4	3648	3077	5589	6725	4347	0.113207547169811
NTe	207	NTe5	3851	2961	5741	6694	4054	0.0943396226415094
NTe	207	NTe6	3838	3070	5829	6607	4329	0.0188679245283019
NTe	207	NTe7	3863	2999	5740	6682	4350	0.0943396226415094
NTe	207	NTe8	3746	2813	5591	6447	4376	0.0566037735849057
NTe	207	NTe9	3797	3134	5787	6434	4234	0.0566037735849057
eoE	208	eoE0	5956	5718	6199	3487	5888	0.0677966101694915
eoE	208	eoE1	6155	5724	6292	3236	5600	0.0677966101694915
eoE	208	eoE2	5945	5955	6330	3400	5711	0.0508474576271186
eoE	208	eoE3	6030	5652	6344	3325	5697	0.11864406779661
eoE	208	eoE4	6020	5856	6408	3530	5934	0.135593220338983
eoE	208	eoE5	5970	5932	6216	3507	5703	0.152542372881356
eoE	208	eoE6	5914	5910	6273	3555	5914	0.101694915254237
eoE	208	eoE7	5995	5767	6456	3301	5880	0.11864406779661
eoE	208	eoE8	5917	5959	6178	3454	5795	0.11864406779661
eoE	208	eoE9	5874	5992	6171	3349	5933	0.0677966101694915
tKe	209	tKe0	6288	3048	2865	4366	4370	0.0645161290322581
tKe	209	tKe1	6001	3195	2996	4278	4310	0.0967741935483871
tKe	209	tKe2	6281	3112	3079	4541	4500	0.0645161290322581
tKe	209	tKe3	6101	3338	2908	4318	4389	0.0645161290322581
tKe	209	tKe4	6041	3357	2856	4280	4437	0.129032258064516
tKe	209	tKe5	6234	3082	2933	4373	4471	0.0806451612903226
tKe	209	tKe6	5986	3214	2976	4414	4337	0.145161290322581
tKe	209	tKe7	6247	3298	3125	4253	4203	0.145161290322581
tKe	209	tKe8	6258	3089	2926	4572	4493	0.0967741935483871
tKe	209	tKe9	6039	3128	2860	4499	4303	0.112903225806452
yPJ	210	yPJ0	1510	2755	6239	801	3296	0.0655737704918033
yPJ	210	yPJ1	1738	2553	6457	780	3318	0.147540983606557
yPJ	210	yPJ2	1656	2707	6247	931	3251	0.0163934426229508
yPJ	210	yPJ3	1797	2825	6331	873	3279	0.131147540983607
yPJ	210	yPJ4	1652	2806	6513	802	3352	0.114754098360656
yPJ	210	yPJ5	1530	2748	6266	1075	3483	0.114754098360656
yPJ	210	yPJ6	1671	2653	6263	962	3481	0.147540983606557
yPJ	210	yPJ7	1745	2820	6258	1099	3354	0.0491803278688525
yPJ	210	yPJ8	1609	2612	6208	979	3306	0.147540983606557
yPJ	210	yPJ9	1572	2810	6478	1084	3393	0.0655737704918033
Uyh	211	Uyh0	5525	681	2032	4343	4957	0.0238095238095238
Uyh	211	Uyh1	5689	744	2063	4294	4933	0.0714285714285714
Uyh	211	Uyh2	5449	774	2084	4292	4769	0.166666666666667
Uyh	211	Uyh3	5511	852	2057	4274	4814	0.0238095238095238
Uyh	211	Uyh4	5561	1021	2076	4354	4918	0.166666666666667
Uyh	211	Uyh5	5497	840	1924	4456	4918	0.0476190476190476
Uyh	211	Uyh6	5438	996	1868	4222	4814	0.0238095238095238
Uyh	211	Uyh7	5550	943	1984	4436	4665	0.19047619047619
Uyh	211	Uyh8	5680	859	1938	4258	4820	0.214285714285714
Uyh	211	Uyh9	5683	774	1985	4367	4956	0.0714285714285714
PVz	212	PVz0	4751	1957	911	4587	5707	0.0392156862745098
PVz	212	PVz1	4666	2090	1127	4435	5631	0.0784313725490196
PVz	212	PVz2	4767	1761	1248	4523	5947	0.0588235294117647
PVz	212	PVz3	4615	2013	1229	4260	5960	0.0392156862745098
PVz	212	PVz4	4471	1820	1133	4532	5692	0.137254901960784
PVz	212	PVz5	4677	2085	1120	4535	5828	0.117647058823529
PVz	212	PVz6	4528	2003	1130	4480	5863	0.0784313725490196
PVz	212	PVz7	4549	1843	1061	4524	5806	0.176470588235294
PVz	212	PVz8	4519	2017	1169	4293	5900	0.176470588235294
PVz	212	PVz9	4631	1891	945	4257	5652	0.0980392156862745
vRF	213	vRF0	5278	1413	2621	2364	838	0.106060606060606
vRF	213	vRF1	5321	1445	2669	2498	666	0.106060606060606
vRF	213	vRF2	5291	1428	2808	2522	916	0.136363636363636
vRF	213	vRF3	5295	1656	2728	2641	965	0.0454545454545455
vRF	213	vRF4	5413	1465	2529	2544	734	0.106060606060606
vRF	213	vRF5	5355	1638	2839	2591	780	0.0757575757575758
vRF	213	vRF6	5266	1391	2536	2314	799	0.106060606060606
vRF	213	vRF7	5362	1552	2573	2518	997	0.0606060606060606
vRF	213	vRF8	5225	1420	2650	2380	705	0.121212121212121
vRF	213	vRF9	5168	1631	2773	2343	762	0.136363636363636
seW	214	seW0	3310	3229	1643	5720	1782	0.0208333333333333
seW	214	seW1	3145	3480	1725	5659	1628	0.0625
seW	214	seW2	3321	3561	1426	5657	1618	0.0416666666666667
seW	214	seW3	3173	3558	1638	5576	1757	0.125
seW	214	seW4	3056	3447	1380	5445	1758	0.1875
seW	214	seW5	3034	3239	1597	5435	1702	0.145833333333333
seW	214	seW6	3224	3247	1392	5553	1511	0.166666666666667
seW	214	seW7	3089	3251	1590	5522	1453	0.0833333333333333
seW	214	seW8	3123	3304	1507	5394	1446	0.125
seW	214	seW9	3245	3473	1581	5406	1681	0.0416666666666667
Yng	215	Yng0	6099	5727	6405	4197	4178	0.0294117647058824
Yng	215	Yng1	6204	5906	6377	4418	4054	0.0882352941176471
Yng	215	Yng2	6083	5716	6445	4273	4159	0.0294117647058824
Yng	215	Yng3	6108	5900	6436	4141	4154	0.147058823529412
Yng	215	Yng4	6351	5665	6467	4273	4180	0.0294117647058824
Yng	215	Yng5	6250	5665	6428	4196	4047	0.235294117647059
Yng	215	Yng6	6075	5851	6315	4431	4284	0.117647058823529
Yng	215	Yng7	6111	5621	6428	4120	4107	0.0588235294117647
Yng	215	Yng8	6054	5915	6307	4217	4293	0.235294117647059
Yng	215	Yng9	6188	5890	6486	4204	4262	0.0294117647058824
ATp	216	ATp0	6659	3060	1886	3519	4829	0.0967741935483871
ATp	216	ATp1	6712	3010	1772	3454	4776	0.0161290322580645
ATp	216	ATp2	6604	3284	1944	3428	4729	0.129032258064516
ATp	216	ATp3	6649	3281	2062	3727	4669	0.129032258064516
ATp	216	ATp4	6877	3151	1814	3624	4629	0.112903225806452
ATp	216	ATp5	6595	3225	2059	3499	4675	0.129032258064516
ATp	216	ATp6	6738	3086	1852	3711	4594	0.0483870967741935
ATp	216	ATp7	6803	3187	1726	3733	4828	0.0806451612903226
ATp	216	ATp8	6798	3310	1959	3454	4802	0.145161290322581
ATp	216	ATp9	6603	3243	1853	3549	4761	0.112903225806452
KZP	217	KZP0	1977	5390	3297	5027	6525	0.121212121212121
KZP	217	KZP1	1921	5494	3284	4707	6797	0.106060606060606
KZP	217	KZP2	1726	5279	3115	4858	6713	0.136363636363636
KZP	217	KZP3	1718	5498	3352	4757	6486	0.121212121212121
KZP	217	KZP4	1789	5410	3278	4989	6530	0.0303030303030303
KZP	217	KZP5	1694	5351	3042	4983	6798	0.121212121212121
KZP	217	KZP6	1987	5375	3365	4821	6655	0.106060606060606
KZP	217	KZP7	1652	5306	3192	4730	6604	0.0151515151515152
KZP	217	KZP8	1986	5516	3314	4982	6791	0.121212121212121
KZP	217	KZP9	1829	5315	3219	4726	6688	0.121212121212121
RqN	218	RqN0	6755	4537	2178	6202	6717	0.105263157894737
RqN	218	RqN1	6543	4397	2317	6226	6762	0.0526315789473684
RqN	218	RqN2	6745	4503	2353	6246	6509	0.140350877192982
RqN	218	RqN3	6728	4301	2145	6032	6712	0.157894736842105
RqN	218	RqN4	6609	4300	2186	6156	6461	0.140350877192982
RqN	218	RqN5	6553	4293	2053	6166	6734	0.0175438596491228
RqN	218	RqN6	6609	4323	2210	6128	6577	0.0526315789473684
RqN	218	RqN7	6795	4567	2376	6059	6625	0.140350877192982
RqN	218	RqN8	6570	4403	2369	6254	6476	0.157894736842105
RqN	218	RqN9	6624	4372	2340	6151	6606	0.0350877192982456
rQy	219	rQy0	4651	3353	1378	2374	3765	0.132075471698113
rQy	219	rQy1	4729	3398	1383	2219	3688	0.113207547169811
rQy	219	rQy2	4774	3374	1405	2190	3569	0.0754716981132075
rQy	219	rQy3	4516	3441	1408	2208	3818	0.132075471698113
rQy	219	rQy4	4808	3257	1386	2145	3742	0.132075471698113
rQy	219	rQy5	4710	3390	1443	2386	3598	0.132075471698113
rQy	219	rQy6	4739	3144	1337	2182	3584	0.169811320754717
rQy	219	rQy7	4781	3343	1464	2120	3644	0.0754716981132075
rQy	219	rQy8	4799	3239	1639	2114	3829	0.0188679245283019
rQy	219	rQy9	4829	3363	1661	2363	3839	0.0188679245283019
kMn	220	kMn0	6017	4453	5157	5763	846	0.12
kMn	220	kMn1	5898	4499	5148	5746	948	0.18
kMn	220	kMn2	6142	4627	5259	5904	1179	0.1
kMn	220	kMn3	6076	4488	5084	5972	1090	0.18
kMn	220	kMn4	5969	4418	5236	5813	844	0.04
kMn	220	kMn5	6083	4449	5018	5999	943	0.04
kMn	220	kMn6	5976	4397	5266	6036	1003	0.16
kMn	220	kMn7	6094	4380	5020	6008	948	0.1
kMn	220	kMn8	5933	4482	5148	5952	991	0.04
kMn	220	kMn9	5990	4668	4977	5835	1046	0.04
WPE	221	WPE0	6735	4104	6466	436	6732	0.163265306122449
WPE	221	WPE1	6807	4245	6618	295	6880	0.0408163265306122
WPE	221	WPE2	6855	4174	6470	544	6660	0.102040816326531
WPE	221	WPE3	6921	3951	6404	476	6956	0.0816326530612245
WPE	221	WPE4	6722	3979	6639	269	6733	0.0204081632653061
WPE	221	WPE5	6816	4255	6585	513	6818	0.0816326530612245
WPE	221	WPE6	6914	4080	6697	244	6939	0.142857142857143
WPE	221	WPE7	6669	4007	6610	484	6832	0.0612244897959184
WPE	221	WPE8	6969	4113	6491	434	6745	0.163265306122449
WPE	221	WPE9	6885	4112	6505	460	6913	0.142857142857143
yaM	222	yaM0	6247	2068	4962	1529	6573	0.134615384615385
yaM	222	yaM1	6243	2113	5109	1463	6803	0.0384615384615385
yaM	222	yaM2	6454	1859	5020	1733	6880	0.134615384615385
yaM	222	yaM3	6457	1947	4896	1718	6663	0.0384615384615385
yaM	222	yaM4	6493	1984	4859	1556	6874	0.0576923076923077
yaM	222	yaM5	6590	2090	5057	1661	6775	0.153846153846154
yaM	222	yaM6	6281	1839	4934	1548	6775	0.115384615384615
yaM	222	yaM7	6309	2056	4901	1460	6556	0.0576923076923077
yaM	222	yaM8	6561	1993	5033	1543	6771	0.153846153846154
yaM	222	yaM9	6495	1879	4959	1724	6542	0.115384615384615
fGs	223	fGs0	4529	4219	5469	763	1958	0.075
fGs	223	fGs1	4410	3969	5724	994	1931	0.15
fGs	223	fGs2	4337	4180	5554	1011	1915	0.15
fGs	223	fGs3	4275	4224	5472	900	1710	0.225
fGs	223	fGs4	4288	4075	5662	1032	1681	0.1
fGs	223	fGs5	4528	4131	5557	782	1925	0.025
fGs	223	fGs6	4282	4196	5419	788	1706	0.075
fGs	223	fGs7	4267	4037	5452	765	1814	0.05
fGs	223	fGs8	4259	4120	5748	819	1720	0.025
fGs	223	fGs9	4339	4181	5577	877	1815	0.125
hVV	224	hVV0	4768	2383	5908	2197	4377	0.0377358490566038
hVV	224	hVV1	4571	2312	5814	2334	4253	0.0377358490566038
hVV	224	hVV2	4812	2492	5691	2171	4259	0.0566037735849057
hVV	224	hVV3	4560	2403	5775	2154	4357	0.0754716981132075
hVV	224	hVV4	4843	2442	5628	2194	4370	0.169811320754717
hVV	224	hVV5	4776	2230	5905	2153	4205	0.0188679245283019
hVV	224	hVV6	4820	2310	5792	2445	4264	0.132075471698113
hVV	224	hVV7	4818	2445	5694	2295	4340	0.150943396226415
hVV	224	hVV8	4795	2387	5852	2408	4092	0.150943396226415
hVV	224	hVV9	4580	2335	5871	2208	4331	0.169811320754717
Arq	225	Arq0	5598	2827	2626	2616	2857	0.12962962962963
Arq	225	Arq1	5369	2819	2506	2707	3145	0.166666666666667
Arq	225	Arq2	5597	2803	2625	2834	2866	0.0925925925925926
Arq	225	Arq3	5474	3069	2689	2645	2855	0.12962962962963
Arq	225	Arq4	5572	2823	2503	2619	2857	0.037037037037037
Arq	225	Arq5	5634	2798	2498	2825	3137	0.0555555555555556
Arq	225	Arq6	5575	2990	2512	2716	2929	0.166666666666667
Arq	225	Arq7	5501	2938	2757	2825	2884	0.0925925925925926
Arq	225	Arq8	5462	3019	2560	2859	2934	0.111111111111111
Arq	225	Arq9	5326	2914	2785	2735	3009	0.0185185185185185
qrM	226	qrM0	1702	630	1119	677	2440	0.137254901960784
qrM	226	qrM1	1730	648	1069	458	2364	0.0980392156862745
qrM	226	qrM2	1518	464	1169	577	2145	0.0588235294117647
qrM	226	qrM3	1532	658	1229	646	2358	0.0784313725490196
qrM	226	qrM4	1770	436	1142	658	2271	0.176470588235294
qrM	226	qrM5	1580	400	1199	652	2308	0.0588235294117647
qrM	226	qrM6	1594	644	1217	541	2389	0.176470588235294
qrM	226	qrM7	1739	539	1359	468	2307	0.0588235294117647
qrM	226	qrM8	1750	493	1376	579	2401	0.0784313725490196
qrM	226	qrM9	1780	539	1254	472	2196	0.0784313725490196
PaR	227	PaR0	2532	1670	5832	5556	5944	0.1
PaR	227	PaR1	2734	1605	5943	5707	5862	0.08
PaR	227	PaR2	2618	1718	6029	5522	6060	0.12
PaR	227	PaR3	2501	1757	6022	5524	5853	0.08
PaR	227	PaR4	2566	1536	5908	5625	6083	0.1
PaR	227	PaR5	2420	1586	5905	5547	5934	0.12
PaR	227	PaR6	2620	1817	6090	5738	5841	0.1
PaR	227	PaR7	2646	1568	5932	5488	6004	0.1
PaR	227	PaR8	2459	1474	6148	5579	6162	0.06
PaR	227	PaR9	2742	1802	5943	5687	6023	0.14
chn	228	chn0	3691	4217	6408	5920	843	0.131578947368421
chn	228	chn1	3671	4025	6320	6066	786	0.0526315789473684
chn	228	chn2	3618	3901	6575	5954	847	0.0789473684210526
chn	228	chn3	3598	4201	6311	6071	715	0.157894736842105
chn	228	chn4	3648	3994	6459	6010	868	0.131578947368421
chn	228	chn5	3661	4219	6527	5926	891	0.0789473684210526
chn	228	chn6	3466	4224	6259	5814	827	0.157894736842105
chn	228	chn7	3544	3898	6268	5770	916	0.0526315789473684
chn	228	chn8	3358	4192	6356	5780	872	0.0526315789473684
chn	228	chn9	3430	4089	6405	5907	842	0.105263157894737
eSx	229	eSx0	822	5565	6839	4889	457	0.0344827586206897
eSx	229	eSx1	875	5672	6894	5028	440	0.120689655172414
eSx	229	eSx2	956	5438	6720	4968	736	0.0517241379310345
eSx	229	eSx3	861	5676	6565	5023	416	0.120689655172414
eSx	229	eSx4	1119	5419	6681	4942	546	0.137931034482759
eSx	229	eSx5	1102	5493	6628	4908	418	0.120689655172414
eSx	229	eSx6	1116	5421	6857	5006	562	0.155172413793103
eSx	229	eSx7	1131	5599	6645	5137	536	0.103448275862069
eSx	229	eSx8	882	5573	6841	5063	545	0.120689655172414
eSx	229	eSx9	943	5502	6641	5113	412	0.0344827586206897
Goa	230	Goa0	1551	1443	3191	359	5888	0.0357142857142857
Goa	230	Goa1	1480	1378	3088	548	6148	0.142857142857143
Goa	230	Goa2	1549	1432	3012	445	5896	0.0535714285714286
Goa	230	Goa3	1522	1349	3202	337	5951	0.107142857142857
Goa	230	Goa4	1426	1525	3007	476	6035	0.125
Goa	230	Goa5	1421	1467	3243	405	5994	0.0535714285714286
Goa	230	Goa6	1276	1641	3094	409	6113	0.125
Goa	230	Goa7	1417	1439	3127	417	6171	0.125
Goa	230	Goa8	1526	1433	3127	529	6102	0.142857142857143
Goa	230	Goa9	1519	1487	3038	519	6045	0.0892857142857143
BWO	231	BWO0	4545	178	6395	5754	4860	0.0857142857142857
BWO	231	BWO1	4491	89	6220	5797	5068	0.114285714285714
BWO	231	BWO2	4583	29	6251	5692	5053	0.0571428571428571
BWO	231	BWO3	4490	270	6429	5871	4816	0.0571428571428571
BWO	231	BWO4	4505	140	6267	5923	5087	0.2
BWO	231	BWO5	4575	200	6292	5693	4794	0.142857142857143
BWO	231	BWO6	4611	340	6427	5826	4827	0.0857142857142857
BWO	231	BWO7	4380	157	6210	5638	4904	0.114285714285714
BWO	231	BWO8	4360	86	6437	5741	4793	0.0285714285714286
BWO	231	BWO9	4507	43	6241	5723	5116	0.114285714285714
uQM	232	uQM0	1026	4841	2767	4338	376	0.0535714285714286
uQM	232	uQM1	808	4577	2760	4422	540	0.0357142857142857
uQM	232	uQM2	932	4690	2666	4115	336	0.0535714285714286
uQM	232	uQM3	825	4660	2782	4444	356	0.125
uQM	232	uQM4	772	4791	2766	4315	404	0.0892857142857143
uQM	232	uQM5	963	4536	2639	4205	335	0.107142857142857
uQM	232	uQM6	899	4528	2699	4148	451	0.142857142857143
uQM	232	uQM7	781	4584	2748	4421	475	0.160714285714286
uQM	232	uQM8	809	4678	2651	4439	262	0.160714285714286
uQM	232	uQM9	810	4658	2844	4348	356	0.0714285714285714
jxV	233	jxV0	2892	3152	357	2142	3338	0.0227272727272727
jxV	233	jxV1	2883	3004	235	2108	3421	0.204545454545455
jxV	233	jxV2	2931	2865	137	2071	3218	0.0681818181818182
jxV	233	jxV3	3010	2966	304	1903	3246	0.0227272727272727
jxV	233	jxV4	3041	3091	122	1984	3258	0.0681818181818182
jxV	233	jxV5	3027	2907	113	2084	3398	0.159090909090909
jxV	233	jxV6	3032	2853	131	2000	3393	0.0227272727272727
jxV	233	jxV7	2938	3135	123	1871	3280	0.181818181818182
jxV	233	jxV8	3001	2992	263	2025	3550	0.0909090909090909
jxV	233	jxV9	3051	3128	163	1981	3274	0.159090909090909
zpt	234	zpt0	330	1465	116	5053	1114	0.129032258064516
zpt	234	zpt1	295	1288	100	5067	925	0.0645161290322581
zpt	234	zpt2	257	1488	16	5103	952	0.129032258064516
zpt	234	zpt3	270	1528	91	5185	971	0.0645161290322581
zpt	234	zpt4	126	1415	183	4996	873	0.112903225806452
zpt	234	zpt5	188	1267	263	4960	948	0.129032258064516
zpt	234	zpt6	356	1474	62	4892	1014	0.145161290322581
zpt	234	zpt7	282	1492	83	5169	984	0.0806451612903226
zpt	234	zpt8	356	1297	88	5197	854	0.112903225806452
zpt	234	zpt9	124	1556	264	4948	1017	0.032258064516129
MxC	235	MxC0	4621	5985	3636	6209	399	0.0227272727272727
MxC	235	MxC1	4566	6035	3518	6272	340	0.0681818181818182
MxC	235	MxC2	4349	5838	3544	6252	491	0.0227272727272727
MxC	235	MxC3	4385	5980	3641	6434	311	0.204545454545455
MxC	235	MxC4	4448	5850	3711	6411	355	0.0681818181818182
MxC	235	MxC5	4305	5831	3496	6127	391	0.159090909090909
MxC	235	MxC6	4419	5899	3770	6333	391	0.113636363636364
MxC	235	MxC7	4588	5919	3649	6331	413	0.0909090909090909
MxC	235	MxC8	4300	6040	3642	6339	323	0.204545454545455
MxC	235	MxC9	4380	5777	3755	6208	576	0.0454545454545455
qOb	236	qOb0	5820	3969	3190	4395	1027	0.157894736842105
qOb	236	qOb1	5578	3911	3417	4107	1094	0.131578947368421
qOb	236	qOb2	5892	4031	3286	4373	907	0.0263157894736842
qOb	236	qOb3	5728	3786	3134	4133	858	0.157894736842105
qOb	236	qOb4	5846	4030	3462	4258	950	0.0263157894736842
qOb	236	qOb5	5555	3826	3417	4225	1131	0.0789473684210526
qOb	236	qOb6	5748	4028	3335	4356	1018	0.105263157894737
qOb	236	qOb7	5636	3966	3245	4417	1074	0.210526315789474
qOb	236	qOb8	5599	3970	3458	4391	864	0.0526315789473684
qOb	236	qOb9	5736	4065	3457	4394	1055	0.0526315789473684
naR	237	naR0	1619	1728	1264	4735	2010	0.0526315789473684
naR	237	naR1	1606	1491	1294	4739	1995	0.157894736842105
naR	237	naR2	1562	1455	1091	5042	2121	0.105263157894737
naR	237	naR3	1322	1431	1174	4741	2040	0.12280701754386
naR	237	naR4	1470	1631	1325	4993	2001	0.087719298245614
naR	237	naR5	1564	1608	1068	4976	2101	0.087719298245614
naR	237	naR6	1592	1542	1076	4947	2178	0.157894736842105
naR	237	naR7	1535	1417	1158	5011	2060	0.105263157894737
naR	237	naR8	1284	1476	1190	4813	2112	0.087719298245614
naR	237	naR9	1420	1641	1225	4948	1882	0.0350877192982456
GnB	238	GnB0	3255	2849	6651	3629	605	0.166666666666667
GnB	238	GnB1	3425	2938	6468	3627	455	0.0714285714285714
GnB	238	GnB2	3600	2867	6761	3586	668	0.0238095238095238
GnB	238	GnB3	3451	2866	6542	3776	758	0.19047619047619
GnB	238	GnB4	3454	3061	6472	3681	513	0.166666666666667
GnB	238	GnB5	3325	3140	6485	3460	708	0.142857142857143
GnB	238	GnB6	3356	2970	6473	3618	660	0.0952380952380952
GnB	238	GnB7	3590	2975	6483	3604	658	0.0238095238095238
GnB	238	GnB8	3381	2881	6582	3698	659	0.0238095238095238
GnB	238	GnB9	3412	2950	6644	3532	712	0.0952380952380952
SDy	239	SDy0	5645	3723	6952	3224	5106	0.104166666666667
SDy	239	SDy1	5594	3819	6698	3061	5010	0.0625
SDy	239	SDy2	5668	3972	6714	3239	5086	0.1875
SDy	239	SDy3	5555	3763	6778	3141	5021	0.1875
SDy	239	SDy4	5518	3692	6794	3237	5063	0.0625
SDy	239	SDy5	5425	3756	6661	3182	5337	0.0625
SDy	239	SDy6	5431	3845	6946	3238	5191	0.125
SDy	239	SDy7	5637	3815	6690	3163	5329	0.0416666666666667
SDy	239	SDy8	5415	3707	6810	3248	5169	0.0208333333333333
SDy	239	SDy9	5557	3782	6708	3211	5086	0.145833333333333
dET	240	dET0	6058	2367	5855	2876	2598	0.0930232558139535
dET	240	dET1	6215	2439	6015	2806	2504	0.162790697674419
dET	240	dET2	6115	2620	6181	2711	2532	0.13953488372093
dET	240	dET3	6011	2346	5881	2796	2544	0.0232558139534884
dET	240	dET4	6165	2371	5957	2788	2534	0.162790697674419
dET	240	dET5	6069	2620	6048	2644	2373	0.0465116279069767
dET	240	dET6	5923	2544	6163	2918	2465	0.0930232558139535
dET	240	dET7	5923	2525	5954	2843	2507	0.0697674418604651
dET	240	dET8	5895	2417	5855	2831	2361	0.116279069767442
dET	240	dET9	5999	2484	6179	2603	2377	0.0930232558139535
rOQ	241	rOQ0	2014	662	6521	354	158	0.111111111111111
rOQ	241	rOQ1	2054	573	6295	443	297	0.0888888888888889
rOQ	241	rOQ2	1941	410	6571	411	137	0.177777777777778
rOQ	241	rOQ3	1959	680	6362	228	241	0.111111111111111
rOQ	241	rOQ4	2206	488	6288	219	305	0.0666666666666667
rOQ	241	rOQ5	1990	480	6577	379	241	0.0444444444444444
rOQ	241	rOQ6	2218	517	6402	540	335	0.0444444444444444
rOQ	241	rOQ7	1969	403	6562	281	244	0.155555555555556
rOQ	241	rOQ8	2227	474	6314	547	157	0.0888888888888889
rOQ	241	rOQ9	1901	456	6326	309	230	0.111111111111111
Vnv	242	Vnv0	4211	5054	4870	6546	6268	0.0204081632653061
Vnv	242	Vnv1	4056	5230	4577	6556	6346	0.0204081632653061
Vnv	242	Vnv2	4097	5032	4557	6732	6083	0.142857142857143
Vnv	242	Vnv3	4251	5074	4695	6768	6328	0.142857142857143
Vnv	242	Vnv4	4125	5186	4636	6518	6160	0.163265306122449
Vnv	242	Vnv5	3986	5122	4743	6817	6164	0.163265306122449
Vnv	242	Vnv6	4049	5134	4610	6605	6187	0.0408163265306122
Vnv	242	Vnv7	3990	5156	4745	6596	6132	0.122448979591837
Vnv	242	Vnv8	4079	5319	4724	6812	6151	0.122448979591837
Vnv	242	Vnv9	4186	5037	4870	6689	6150	0.0612244897959184
UOw	243	UOw0	3554	1226	5654	5460	1752	0.0612244897959184
